split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
grouped,"Known robots, new cases",4000,Logistic regression,context_10,+10 difficulty/reach,118,0.8019389884687306,0.007433114218091493,0.8147484940997635,0.7039810253011,0.008136940700372733,387.5,0.4585490483030112,0.04655586450826377,0.00026089225139003247
grouped,"Known robots, new cases",4000,Logistic regression,context_20,+20 geometry/state,128,0.8054556669992509,0.00776204283406816,0.816896552960193,0.71843476702762,0.009963445177059044,387.5,0.4489632131246653,0.05151981958867206,0.00026509024125213426
grouped,"Known robots, new cases",4000,Logistic regression,context_22,+22 full context,130,0.84874382805206,0.008281364325347719,0.8650981988693869,0.7610299968828224,0.012229351397393453,387.5,0.35393067474261236,0.05380149658109682,0.0002618126697295035
grouped,"Known robots, new cases",4000,MLP-24,baseline,Baseline,108,0.8381293716409542,0.010980574683893322,0.8569263478430402,0.794678970534683,0.010281595666918653,387.5,0.3970929437914086,0.35865560083281406,0.0003430243377806619
grouped,"Known robots, new cases",4000,MLP-24,context_10,+10 difficulty/reach,118,0.8768632148527641,0.007455662442181101,0.8841907032751255,0.8148992687651889,0.011738662249227606,387.5,0.2847840197152968,0.35520455207733903,0.00032974666585990536
grouped,"Known robots, new cases",4000,MLP-24,context_20,+20 geometry/state,128,0.876769142410489,0.012460588899650646,0.8871601748239971,0.8196033844822556,0.02012988953489484,387.5,0.2868946720859265,0.3167767951769444,0.00033938557802078623
grouped,"Known robots, new cases",4000,MLP-24,context_22,+22 full context,130,0.8799178630493998,0.007092593083431874,0.8902086320727011,0.8263710552258235,0.009371411325525684,387.5,0.2833215391779531,0.358774607758581,0.00033999658868803334
grouped,"Known robots, new cases",5000,Logistic regression,baseline,Baseline,108,0.627272094747283,0.008504706053663578,0.6823677362327706,0.7170462425115205,0.00940099156495951,488.6666666666667,0.7500952299555562,0.02057580200198572,0.0002752706641331315
grouped,"Known robots, new cases",5000,Logistic regression,context_10,+10 difficulty/reach,118,0.8046753139225072,0.00649270552178724,0.8181892580907766,0.7073926869396902,0.007306220703373536,488.6666666666667,0.4584803146479896,0.06368331933723918,0.00036406599974725395
grouped,"Known robots, new cases",5000,Logistic regression,context_20,+20 geometry/state,128,0.8087416196640781,0.00749508402063688,0.8203057920370332,0.7223824147808817,0.009112662698699536,488.6666666666667,0.4470866887675013,0.07161420492532973,0.00031327766191679984
grouped,"Known robots, new cases",5000,Logistic regression,context_22,+22 full context,130,0.8484740278972027,0.007821636394496052,0.8653427565056137,0.7584557675863625,0.012340695113595397,488.6666666666667,0.35160056175208193,0.07609744083796006,0.0003172640038731818
