seed,profile,description,feature_count,parameter_count,best_epoch,test_rows,accuracy,balanced_accuracy,macro_f1,log_loss,accepted_recall,uncertain_recall,rejected_recall,inference_ns_per_sample,fit_ms
2607,without_reach,"Full context without radius and conservative reach context",126,4163,19,14000,0.876357142857,0.894699033446,0.885171131820,0.285943522464,0.925848014725,0.936488169365,0.821760916249,2257.270857142857,5840
2607,without_joint_mix,"Full context without prismatic and revolute fractions",128,4227,26,14000,0.899142857143,0.913460565326,0.904631459152,0.226241169999,0.928477517749,0.953922789539,0.857981388690,2385.625000000000,7484
2607,without_link_geometry,"Full context without link extent summaries",128,4227,26,14000,0.894571428571,0.907798679601,0.900491171696,0.232692792697,0.921640809887,0.945205479452,0.856549749463,2282.485071428571,7447
2607,without_joint_span,"Full context without joint span summaries",128,4227,28,14000,0.896857142857,0.909712039634,0.902816273142,0.231808282055,0.917170654746,0.951120797011,0.860844667144,2258.520857142857,7879
2607,without_normalized_target,"Full context without reach-normalized target coordinates",127,4195,37,14000,0.902142857143,0.917409260940,0.907674954341,0.223942221713,0.913226400210,0.977584059776,0.861417322835,2512.577357142857,8636
2607,without_seed_home_offset,"Full context without normalized seed-to-home summaries",127,4195,31,14000,0.894928571429,0.906918500513,0.900082543600,0.234604881143,0.916118853537,0.943648816936,0.860987831067,2295.080357142857,8464
2607,without_revolute_fraction,"Remove the exact complement of prismatic_joint_fraction",129,4259,26,14000,0.899928571429,0.914019433494,0.905609063202,0.225801561955,0.905074940836,0.973848069738,0.863135289907,2466.113071428571,7470
2607,without_prismatic_fraction,"Remove the exact complement of revolute_joint_fraction",129,4259,36,14000,0.899142857143,0.917418312499,0.905116896806,0.242827006895,0.924270312911,0.979452054795,0.848532569792,2544.392857142857,8834
2607,without_availability_flags,"Frozen-corpus audit without the three constant availability flags",127,4195,25,14000,0.899500000000,0.916928847782,0.905947441034,0.229585021059,0.941625032869,0.960772104608,0.848389405870,2279.196428571428,7262
2607,frozen_redundancy_pruned,"Frozen-corpus constants plus one exact joint-fraction complement",126,4163,34,14000,0.903428571429,0.917835922329,0.909134813946,0.215716055755,0.912963449908,0.975404732254,0.865139584825,2223.214285714286,8534
2607,corpus_nonconstant,"Transductive audit only: features varying in this frozen corpus",106,3523,24,14000,0.900785714286,0.916438705756,0.906906277289,0.231712294893,0.931632921378,0.961706102117,0.855977093772,1674.511928571429,5536
2608,baseline_108,"Baseline kinematics only",108,3587,26,12000,0.889000000000,0.896355789579,0.884041530250,0.249696156558,0.862745098039,0.989594742607,0.836727528090,1806.371500000000,6279
2608,context_full_130,"Complete context contract",130,4291,38,12000,0.928250000000,0.938440654930,0.925071578698,0.161159178105,0.939668174962,0.996440306681,0.879213483146,2409.100666666667,9239
2608,without_initial_error,"Full context without the initial Cartesian error",128,4227,23,12000,0.923333333333,0.934249061842,0.920014847082,0.174635147701,0.935520361991,0.996440306681,0.870786516854,2320.274333333333,6919
2608,without_seed_margin,"Full context without the seed-to-limit margin",128,4227,37,12000,0.923500000000,0.933974723506,0.920153976155,0.173824170414,0.935897435897,0.992606790800,0.873419943820,2346.295083333333,9043
2608,without_seed_condition,"Full context without the seed Jacobian conditioning",128,4227,19,12000,0.924916666667,0.937245059962,0.921827949158,0.176149650049,0.946832579186,0.995345016429,0.869557584270,2352.027750000000,6119
2608,without_reach,"Full context without radius and conservative reach context",126,4163,35,12000,0.899166666667,0.910839681736,0.895223685865,0.229867435039,0.901583710407,0.993154435926,0.837780898876,2373.138916666667,8890
2608,without_joint_mix,"Full context without prismatic and revolute fractions",128,4227,37,12000,0.922000000000,0.938201738765,0.919579755153,0.173405043535,0.967194570136,0.990142387733,0.857268258427,2265.482666666667,9066
2608,without_link_geometry,"Full context without link extent summaries",128,4227,38,12000,0.919333333333,0.933830455373,0.916446679003,0.181092341539,0.950226244344,0.994523548740,0.856741573034,2278.055583333333,9056
2608,without_joint_span,"Full context without joint span summaries",128,4227,20,12000,0.922000000000,0.934328610428,0.918901506862,0.169686012756,0.943061840121,0.993702081051,0.866221910112,2369.166666666667,6400
2608,without_normalized_target,"Full context without reach-normalized target coordinates",127,4195,38,12000,0.916333333333,0.932633013578,0.913649739904,0.187459170100,0.955882352941,0.993702081051,0.848314606742,2281.572916666667,8998
2608,without_seed_home_offset,"Full context without normalized seed-to-home summaries",127,4195,25,12000,0.920416666667,0.931545769100,0.917098503574,0.168821414457,0.935520361991,0.990963855422,0.868153089888,2335.989583333334,7445
2608,without_revolute_fraction,"Remove the exact complement of prismatic_joint_fraction",129,4259,39,12000,0.922166666667,0.934422879195,0.919162215156,0.175831295563,0.945324283560,0.990142387733,0.867801966292,2445.059000000000,9083
2608,without_prismatic_fraction,"Remove the exact complement of revolute_joint_fraction",129,4259,19,12000,0.925083333333,0.935057188355,0.921827486939,0.168526485350,0.936651583710,0.991237677985,0.877282303371,2402.548583333333,6251
2608,without_availability_flags,"Frozen-corpus audit without the three constant availability flags",127,4195,19,12000,0.917333333333,0.934521560990,0.914898607299,0.182280991786,0.964932126697,0.990142387733,0.848490168539,2239.031250000000,6013
2608,frozen_redundancy_pruned,"Frozen-corpus constants plus one exact joint-fraction complement",126,4163,32,12000,0.913333333333,0.926091342087,0.909999830741,0.214857171019,0.930618401207,0.994249726177,0.853405898876,2224.972250000000,8870
2608,corpus_nonconstant,"Transductive audit only: features varying in this frozen corpus",106,3523,19,12000,0.917083333333,0.930925283922,0.914177384089,0.187312505044,0.946832579186,0.988499452355,0.857443820225,1653.791666666667,4832
