trialIndex,cohort,scenario,seed,linkCount,jointMode,targetX,targetY,targetZ,branch,reportedConverged,validatedSuccess,status,detailCode,iterations,stateFinite,jointLimitsValid,independentResidualMeters,nonFiniteEncountered,unsafeSuccess,exceptionContained,contaminatingTrainingCandidate,backtrackingRetryCount,seedConditionNumber,durationNanos,jointValues
460,VALID_CAMPAIGN,UNIFORM,-2629007844780598108,5,AUTO,1.09090106911,-0.0460496912810,0.552604268729,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,6,true,false,7.66784881448e-08,false,true,false,true,0,NaN,4292,17.6466742673|-48.3521711187|-12.3416712876|0.246220097518|0.252236017293
461,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,1100685329921629707,5,AUTO,-0.149852343976,-0.623469802121,-0.154475026173,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,67,true,true,3.50839540161e-08,false,false,false,false,0,15.2528887800,176125,-0.932127592017|0.386669423335|-2.67428063021|0.362538482197|0.0200000000000
461,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,1100685329921629707,5,AUTO,-0.149852343976,-0.623469802121,-0.154475026173,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,11,true,false,6.94103451593e-08,false,true,false,true,0,NaN,8500,7.79643692176|-35.1798250281|-13.1343527848|-0.615427107396|0.0471193373418
462,VALID_CAMPAIGN,NEAR_SINGULARITY,3371272616169666146,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,91,true,true,0.758191104746,false,false,false,false,0,3.13188737867,215208,-0.0706957667558|1.89620555809|-2.67428074637|0.575000000000|0.0200000000000
462,VALID_CAMPAIGN,NEAR_SINGULARITY,3371272616169666146,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,12,true,false,2.55088093421e-08,false,true,false,true,0,NaN,9000,-0.790798330749|-24.9162885121|-11.7662901654|-0.655082620594|-0.251019977927
463,VALID_CAMPAIGN,MICRO_MOTION,-5134418514063559736,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,7,true,true,0.758760981671,false,false,false,false,0,15.5331335062,17750,-0.0686963927301|1.89516775732|-2.67428074637|0.575000000000|0.0200000000000
463,VALID_CAMPAIGN,MICRO_MOTION,-5134418514063559736,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,1,true,false,6.43923714844e-07,false,true,false,true,0,NaN,750,-0.790798330749|-24.9162885121|-11.7662901654|-0.655082620594|-0.251019977927
464,VALID_CAMPAIGN,UNIFORM,2828424015836910806,5,AUTO,0.611804491420,-0.579602747796,-0.111319546992,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,66,true,true,0.0490905599691,false,false,false,false,0,15.5313194092,165375,-0.161622957686|0.954087837492|-2.67428074637|0.398718588108|0.0200000000000
464,VALID_CAMPAIGN,UNIFORM,2828424015836910806,5,AUTO,0.611804491420,-0.579602747796,-0.111319546992,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,7,true,false,2.37182711425e-08,false,true,false,true,0,NaN,5125,-2.53146621134|-23.2630989872|-12.8271637204|-0.425025984742|-0.105096582966
465,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,2296385353209028254,5,AUTO,-0.149852265629,-0.623469820952,-0.154475026173,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,241,true,true,9.97852679685e-07,false,false,false,false,0,5.13332611702,614500,-0.892931381827|0.333845267866|-2.67428074637|0.381866145408|0.0200010223332
465,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,2296385353209028254,5,AUTO,-0.149852265629,-0.623469820952,-0.154475026173,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,6,true,false,2.52005325881e-08,false,true,false,true,0,NaN,4834,-4.05920216049|-22.8099107289|-12.9482217357|-0.360700723047|-0.0744788865913
466,VALID_CAMPAIGN,NEAR_SINGULARITY,-3875224541462059354,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,87,true,true,0.756230556635,false,false,false,false,0,3.08247847513,205666,-0.0707678325391|1.88846290972|-2.67428074637|0.575000000000|0.0200000000000
466,VALID_CAMPAIGN,NEAR_SINGULARITY,-3875224541462059354,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,10,true,false,9.12764269683e-07,false,true,false,true,0,NaN,7042,-6.56768895356|-19.2678512988|-11.9724354362|-0.558044040011|-0.0856486515715
467,VALID_CAMPAIGN,MICRO_MOTION,2207837559058216221,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,7,true,true,0.757348704256,false,false,false,false,0,15.5175853372,16916,-0.0690553497645|1.89015280368|-2.67428074637|0.575000000000|0.0200000000000
467,VALID_CAMPAIGN,MICRO_MOTION,2207837559058216221,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,2,true,false,6.23142808579e-09,false,true,false,true,0,NaN,1250,-6.56768711772|-19.2678551817|-11.9724333691|-0.558045948167|-0.0856491862941
468,VALID_CAMPAIGN,UNIFORM,-6837764418422600456,5,AUTO,0.856115512353,0.250193954580,0.908451407493,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,32,true,true,1.08132639786,false,false,false,false,0,15.5213749782,78125,0.268368975939|2.13484360396|-2.67428074637|0.502776746129|0.0200000000000
468,VALID_CAMPAIGN,UNIFORM,-6837764418422600456,5,AUTO,0.856115512353,0.250193954580,0.908451407493,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,9,true,false,2.54628790192e-08,false,true,false,true,0,NaN,7125,-6.80908685214|-16.5045549888|-11.4686896308|0.492438202627|0.356271053612
469,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,6332455792618368507,5,AUTO,-0.672420422047,0.0785409064162,-0.154475026173,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,264,true,true,9.95605635770e-07,false,false,false,false,0,13.8554030986,669208,-3.12557320885|2.31143875730|-2.67428074637|0.0258267793670|0.0200010201215
469,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,6332455792618368507,5,AUTO,-0.672420422047,0.0785409064162,-0.154475026173,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,9,true,false,1.14524187935e-07,false,true,false,true,0,NaN,7000,3.80451799123|-23.8901636495|-2.06890207995|0.107075925489|-0.552486790839
470,VALID_CAMPAIGN,NEAR_SINGULARITY,-2626403648327064843,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,513,true,true,0.760365542201,false,false,false,false,0,11.5468304135,1311542,-0.0628141688458|1.89175053478|-2.67428074637|0.575000000000|0.0200000000000
470,VALID_CAMPAIGN,NEAR_SINGULARITY,-2626403648327064843,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,13,true,false,8.08959213241e-08,false,true,false,true,0,NaN,12959,12.3138935762|-39.5469676642|-3.97926834361|-1.10649674398|0.286584449160
471,VALID_CAMPAIGN,MICRO_MOTION,3170756686283983256,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,7,true,true,0.760365682893,false,false,false,false,0,15.5247548229,32584,-0.0628140599917|1.89175056740|-2.67428074637|0.575000000000|0.0200000000000
471,VALID_CAMPAIGN,MICRO_MOTION,3170756686283983256,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,1,true,false,6.29145597001e-07,false,true,false,true,0,NaN,750,12.3138935762|-39.5469676642|-3.97926834361|-1.10649674398|0.286584449160
472,VALID_CAMPAIGN,UNIFORM,6353622446073012059,5,AUTO,0.919056521375,0.310926771334,-0.539590970897,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,66,true,true,1.48505902199e-07,false,false,false,false,0,15.5247548909,189625,-0.381182992805|2.15444795952|-1.90913699901|0.510606063683|0.236440907116
472,VALID_CAMPAIGN,UNIFORM,6353622446073012059,5,AUTO,0.919056521375,0.310926771334,-0.539590970897,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,8,true,false,9.12051430950e-09,false,true,false,true,0,NaN,6292,13.0974861265|-38.6965539994|-1.82112409944|-0.396231117649|0.248963809588
473,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-7396336679079960557,5,AUTO,-1.05655992008,-0.322035969768,-0.154475026173,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,685,true,true,9.77141509222e-07,false,false,false,false,0,41.8120677886,1811125,-2.79240950744|1.81786528621|-2.67428074637|0.542588796449|0.0200010019488
473,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-7396336679079960557,5,AUTO,-1.05655992008,-0.322035969768,-0.154475026173,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,14,true,false,4.74686595242e-07,false,true,false,true,0,NaN,11542,28.5725931902|-54.6407099396|-2.55731824074|0.540549038924|-0.0584055153467
474,VALID_CAMPAIGN,NEAR_SINGULARITY,-6738106990078659627,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,94,true,true,0.744413938194,false,false,false,false,0,14.7108599161,232666,-0.147174733108|1.96058325509|-2.67428074637|0.575000000000|0.0200000000000
474,VALID_CAMPAIGN,NEAR_SINGULARITY,-6738106990078659627,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,15,true,false,4.45959057726e-07,false,true,false,true,0,NaN,11708,24.8694918840|-61.0313842651|-3.58561496137|0.963078961673|-0.0162237198699
475,VALID_CAMPAIGN,MICRO_MOTION,2100466305051987639,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,7,true,true,0.748047951606,false,false,false,false,0,15.4814125167,17500,-0.124924716422|1.94178120703|-2.67428074637|0.575000000000|0.0200000000000
