family,trial,state,macro_f1_mean,macro_f1_std,log_loss_mean,duration_seconds,params_json
xgboost,10,COMPLETE,0.8997292659083748,0.013943531518487744,0.22009116411763927,10.853909,"{""colsample"": 0.8203207842346261, ""estimators"": 350, ""learning_rate"": 0.047257146909556604, ""max_depth"": 5, ""min_child_weight"": 2.3618330495886615, ""reg_alpha"": 2.6864337667847647e-06, ""reg_lambda"": 0.02471494818431479, ""subsample"": 0.8913207639843137}"
xgboost,11,COMPLETE,0.9088536080625281,0.00833642724880686,0.24076013354715212,31.035731,"{""colsample"": 0.8259618546890373, ""estimators"": 600, ""learning_rate"": 0.11299469309467916, ""max_depth"": 11, ""min_child_weight"": 6.221329639178491, ""reg_alpha"": 0.0004386248805626967, ""reg_lambda"": 2.6080051309206715, ""subsample"": 0.8517621310349445}"
lightgbm,0,COMPLETE,0.9092361075504399,0.014467126657825756,0.21110356532610908,25.158709,"{""colsample"": 0.6816146695279458, ""estimators"": 550, ""learning_rate"": 0.05582678812311222, ""max_depth"": 8, ""min_child_samples"": 67, ""num_leaves"": 79, ""reg_alpha"": 1.9002338044568895e-05, ""reg_lambda"": 14.644918536141338, ""subsample"": 0.6546913197483222}"
lightgbm,1,COMPLETE,0.9051509661583553,0.017031514280160722,0.3449733846647051,29.836231,"{""colsample"": 0.9288262657758632, ""estimators"": 450, ""learning_rate"": 0.18690209324165533, ""max_depth"": 12, ""min_child_samples"": 91, ""num_leaves"": 80, ""reg_alpha"": 6.182782749614679e-06, ""reg_lambda"": 0.1019773010666694, ""subsample"": 0.6869798796421595}"
lightgbm,2,COMPLETE,0.9024754963105219,0.016767973616888525,0.3523041112090371,34.714176,"{""colsample"": 0.7848757368166301, ""estimators"": 650, ""learning_rate"": 0.17989179567820215, ""max_depth"": 8, ""min_child_samples"": 94, ""num_leaves"": 134, ""reg_alpha"": 0.001574642620644179, ""reg_lambda"": 0.07489242338496921, ""subsample"": 0.6731256954484431}"
lightgbm,3,COMPLETE,0.9077794312157073,0.015256063069514606,0.22264614862444998,26.774419,"{""colsample"": 0.8227871469311709, ""estimators"": 600, ""learning_rate"": 0.05886177934392734, ""max_depth"": 12, ""min_child_samples"": 35, ""num_leaves"": 30, ""reg_alpha"": 0.0002310931450658122, ""reg_lambda"": 0.5713587176078232, ""subsample"": 0.6614037882252731}"
lightgbm,4,COMPLETE,0.906169024395676,0.01472866287782507,0.23405595306737523,9.389564,"{""colsample"": 0.9406233132028882, ""estimators"": 250, ""learning_rate"": 0.16452929192073476, ""max_depth"": -1, ""min_child_samples"": 38, ""num_leaves"": 24, ""reg_alpha"": 0.0009635622157028998, ""reg_lambda"": 0.007916909923498193, ""subsample"": 0.8606867932662559}"
lightgbm,5,COMPLETE,0.9043651432324665,0.01620518417978615,0.21235172361060592,10.413352,"{""colsample"": 0.7861466144232443, ""estimators"": 250, ""learning_rate"": 0.027155699480099462, ""max_depth"": 18, ""min_child_samples"": 82, ""num_leaves"": 31, ""reg_alpha"": 0.002397042055483267, ""reg_lambda"": 0.014870055230370662, ""subsample"": 0.8267976921464948}"
lightgbm,6,COMPLETE,0.9088535857008734,0.013806821018807309,0.2098989045947651,10.992019,"{""colsample"": 0.6056216725671975, ""estimators"": 300, ""learning_rate"": 0.16148357787846881, ""max_depth"": 24, ""min_child_samples"": 51, ""num_leaves"": 21, ""reg_alpha"": 0.0002976508418526105, ""reg_lambda"": 18.778479847058406, ""subsample"": 0.9859571161020357}"
lightgbm,7,COMPLETE,0.9057885553471855,0.017316635156320533,0.21504374848959462,67.628385,"{""colsample"": 0.6255864368772885, ""estimators"": 600, ""learning_rate"": 0.04241283719961427, ""max_depth"": 24, ""min_child_samples"": 40, ""num_leaves"": 57, ""reg_alpha"": 1.4453253006111601e-05, ""reg_lambda"": 13.524137098582715, ""subsample"": 0.7842028401517325}"
lightgbm,8,COMPLETE,0.903798747156734,0.01487016670316566,0.22100125965388304,47.268075,"{""colsample"": 0.5765255951798332, ""estimators"": 250, ""learning_rate"": 0.05798211355502085, ""max_depth"": 12, ""min_child_samples"": 10, ""num_leaves"": 107, ""reg_alpha"": 1.3824948665255675e-07, ""reg_lambda"": 2.8831485630813756, ""subsample"": 0.9298216376600114}"
lightgbm,9,COMPLETE,0.9081615386808659,0.013684411301999199,0.2073093852304393,44.243614,"{""colsample"": 0.7263120121891047, ""estimators"": 900, ""learning_rate"": 0.017093670757545042, ""max_depth"": 8, ""min_child_samples"": 18, ""num_leaves"": 26, ""reg_alpha"": 1.3420069595317639, ""reg_lambda"": 0.23204725416695543, ""subsample"": 0.7999162852916272}"
